ADM_CD,시군구,행정동,시가지,면적,총인구수,0-2세,3-6세,0-6세,영유아비율(%),기관수,어린이집수,유치원수,정원,현원,커버율(%),이용률(%),충원율(%),유형,반경커버율(%),반경신뢰도,반경주의,인접동수_1_5km,시설수_1km,시설수_1_5km,유형_최종,평당가,연식,거래건수
22070630,달서구,월성2동,Y,7.0,13486,56,84,140,1.04,5,3,2,307,239,219.3,170.7,77.9,양호,80.0,정상,N,2,25,48,물리적부족,698.4890748381149,34.0,132.0
22070650,달서구,상인1동,Y,1.5,31952,411,520,931,2.91,13,11,2,800,504,85.9,54.1,63.0,이중취약,97.9,정상,N,2,26,52,이중취약,1069.649370514178,32.0,385.0
22070660,달서구,상인2동,Y,0.93,16708,170,244,414,2.48,7,6,1,633,354,152.9,85.5,55.9,질적미스매치,139.3,정상,N,4,36,67,질적미스매치,1054.2039544572958,19.0,100.0
22070670,달서구,상인3동,Y,3.68,9479,20,47,67,0.71,3,3,0,215,26,320.9,38.8,12.1,질적미스매치,94.1,정상,N,2,9,21,이중취약,590.567827030637,33.0,65.0
22070680,달서구,도원동,Y,10.61,30888,223,363,586,1.9,14,11,3,783,308,133.6,52.6,39.3,질적미스매치,129.0,정상,Y,3,26,45,질적미스매치,718.6388356912875,29.0,418.0
22070690,달서구,송현1동,Y,2.43,15948,83,140,223,1.4,5,3,2,562,209,252.0,93.7,37.2,질적미스매치,115.5,정상,N,4,13,26,질적미스매치,1000.6503825282456,24.0,20.0
22070700,달서구,송현2동,Y,0.96,17655,203,249,452,2.56,6,4,2,679,413,150.2,91.4,60.8,질적미스매치,135.8,정상,N,5,18,43,질적미스매치,939.5677297869836,24.0,123.0
22070710,달서구,본동,Y,1.1,13085,168,170,338,2.58,3,2,1,196,104,58.0,30.8,53.1,이중취약,104.8,정상,N,7,21,54,질적미스매치,1922.6281934474555,1.0,338.0
22070720,달서구,용산1동,Y,1.32,27831,270,392,662,2.38,10,9,1,454,296,68.6,44.7,65.2,이중취약,114.6,정상,N,4,25,52,질적미스매치,972.9809277136802,27.0,291.0
22070730,달서구,용산2동,Y,1.51,24650,170,278,448,1.82,12,9,3,1053,750,235.0,167.4,71.2,양호,191.8,정상,N,3,27,46,광역거점,810.5964970809007,29.0,289.0
22070740,달서구,이곡2동,Y,2.21,14113,82,163,245,1.74,5,4,1,273,156,111.4,63.7,57.1,질적미스매치,199.4,정상,N,2,23,36,질적미스매치,797.4688161920451,32.0,163.0
22070750,달서구,성당동,Y,1.97,19950,144,254,398,1.99,8,6,2,904,518,227.1,130.2,57.3,질적미스매치,122.4,정상,N,5,25,44,질적미스매치,1265.6410872602446,17.0,133.0
22070760,달서구,두류1·2동,Y,1.3,15677,272,227,499,3.18,6,5,1,250,141,50.1,28.3,56.4,이중취약,70.3,정상,N,7,14,40,이중취약,1874.973790278499,3.0,120.0
22070770,달서구,월성1동,Y,1.89,39431,603,1207,1810,4.59,25,20,5,2123,1797,117.3,99.3,84.6,양호,110.7,정상,N,3,43,68,양호,1846.680140204838,17.0,713.0
22070780,달서구,진천동,Y,5.09,49312,666,1053,1719,3.49,29,22,7,2644,1783,153.8,103.7,67.4,양호,109.8,정상,N,4,34,75,양호,1342.868614462229,15.0,520.0
22070790,달서구,유천동,Y,1.25,32906,952,1574,2526,7.68,15,12,3,1003,708,39.7,28.0,70.6,물리적부족,88.8,정상,N,2,32,60,물리적부족,1922.369141440733,11.0,696.0
22510110,달성군,화원읍,N,26.42,45368,608,799,1407,3.1,27,20,7,2190,1436,155.7,102.1,65.6,양호,70.4,정상,Y,1,11,24,물리적부족,956.9128239649948,23.0,419.0
22510120,달성군,논공읍,N,44.48,14789,125,197,322,2.18,14,11,3,1055,626,327.6,194.4,59.3,질적미스매치,296.0,정상,Y,0,11,12,질적미스매치,718.5650751160597,8.0,14.0
22510130,달성군,다사읍,N,36.22,88804,1819,3002,4821,5.43,76,60,16,5221,3575,108.3,74.2,68.5,양호,47.0,정상,Y,0,15,39,물리적부족,1502.015012972115,15.0,797.0
